time,consgrowth,cay,RREL,SPEX,tbill,r1,r2,r3,r4,r5,r6
1952.2,0.99799,-0.0030988,0.99541,0.032868,0.99921,0.99861,1.0169,1.0227,1.0201,1.0392,1.0699
1952.5,1.0133,0.005331,0.99527,0.017028,0.99913,0.98138,0.99543,1.0152,1.0235,1.0131,1.0207
1952.8,1.0088,0.0063209,0.99166,-0.018965,0.99565,1.0091,1.0051,0.97184,0.97872,0.97329,0.97254
1953,1.0088,-0.0016278,0.99718,0.081968,1.0013,1.0611,1.0574,1.0526,1.0836,1.0834,1.1097
1953.2,1.0097,-5.26E-05,0.99841,-0.021424,1.0028,1.0321,1.0408,1.0306,0.97622,0.98113,0.97826
1953.5,1.0026,-0.00352,0.99618,-0.042211,1.0009,0.94518,0.94732,0.95154,0.95768,0.96308,0.97071
1953.8,0.99578,-0.0025838,0.99102,-0.021971,0.9959,0.9706,0.94494,0.91976,0.98696,0.9777,0.90903
1954,0.99396,-0.0016591,0.99342,0.073888,0.99809,1.0399,1.0422,1.0118,1.0856,1.0634,1.046
1954.2,1.0044,0.0076603,0.99524,0.10828,0.99944,1.0846,1.1118,1.1163,1.1034,1.1144,1.1051
1954.5,1.0034,0.0087383,0.995,0.085134,0.99845,1.0384,1.0815,1.0628,1.0966,1.054,1.1146
1954.8,1.0121,0.01235,1.0007,0.090995,1.0034,1.0869,1.1235,1.1325,1.0885,1.1028,1.1047
1955,1.0082,0.0056818,0.9992,0.13535,1.0016,1.1623,1.183,1.2075,1.1154,1.135,1.2977
1955.2,1.0068,0.0059467,0.99702,0.034364,0.99944,1.0437,1.0614,1.0746,1.0252,1.0283,1.0931
1955.5,1.0066,-0.0069782,1.0003,0.1094,1.0031,1.0345,1.0527,1.0645,1.1298,1.0898,1.136
1955.8,1.0058,-0.016413,0.99773,0.018214,1.0011,0.96979,1.0081,1.0095,1.0267,1.0106,0.99217
1956,1.015,-0.0099617,0.99804,0.055761,1.0021,1.0785,1.0613,1.0617,1.0698,1.0393,1.0393
1956.2,1.007,-0.012144,0.99665,0.073289,1.0015,1.0326,1.0506,1.0526,1.0845,1.0655,1.0583
1956.5,0.99953,-0.016258,0.99335,-0.015278,0.99879,0.97917,0.98337,0.96219,0.98106,0.99123,0.95064
1956.8,1.0006,-0.014254,0.99082,-0.037116,0.99669,0.99217,0.98312,0.98184,0.94444,0.98001,0.97026
1957,1.0069,-0.017397,0.99676,0.039768,1.0031,1.0516,1.0307,1.0393,1.0323,1.0676,1.032
1957.2,1.0023,-0.012396,0.99028,-0.035046,0.99696,0.97854,0.98288,1.0064,0.95611,0.96044,0.95888
1957.5,1.0032,-0.012239,0.99552,0.069572,1.0025,1.0486,1.0212,1.0371,1.0955,1.0509,1.0355
